"filename", "language", "TypeScript", "JSON", "JSON with Comments", "Markdown", "TypeScript JSX", "XML", "Prisma", "CSS", "JavaScript", "MS SQL", "comment", "blank", "total"
"/home/antonio/dev/myorder/src/app/provider-page/[providerId]/items/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 8, 71
"/home/antonio/dev/myorder/src/app/provider-page/[providerId]/items/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 9, 119
"/home/antonio/dev/myorder/src/app/provider-page/[providerId]/order/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 8, 71
"/home/antonio/dev/myorder/src/app/provider-page/[providerId]/order/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/antonio/dev/myorder/src/app/provider-page/[providerId]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 19, 117
"/home/antonio/dev/myorder/src/components/ChangePassword.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 2, 12
"/home/antonio/dev/myorder/src/components/DashNavBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 6, 48
"/home/antonio/dev/myorder/src/components/LayoutWrapper.tsx", "TypeScript JSX", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 6, 23
"/home/antonio/dev/myorder/src/components/PaymentInfo.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 2, 12
"/home/antonio/dev/myorder/src/components/ProfileForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 175, 0, 0, 0, 0, 0, 1, 28, 204
"/home/antonio/dev/myorder/src/components/aboutUs.tsx", "TypeScript JSX", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 6, 37
"/home/antonio/dev/myorder/src/components/business.tsx", "TypeScript JSX", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 7, 46
"/home/antonio/dev/myorder/src/components/changeInfo.tsx", "TypeScript JSX", 0, 0, 0, 0, 169, 0, 0, 0, 0, 0, 0, 22, 191
"/home/antonio/dev/myorder/src/components/createItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 176, 0, 0, 0, 0, 0, 0, 25, 201
"/home/antonio/dev/myorder/src/components/createTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 18, 132
"/home/antonio/dev/myorder/src/components/homeAdvantage.tsx", "TypeScript JSX", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 8, 43
"/home/antonio/dev/myorder/src/components/homePresent.tsx", "TypeScript JSX", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 5, 47
"/home/antonio/dev/myorder/src/components/navBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 13, 123
"/home/antonio/dev/myorder/src/components/ui/button.tsx", "TypeScript JSX", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 6, 60
"/home/antonio/dev/myorder/src/components/ui/dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 14, 136
"/home/antonio/dev/myorder/src/components/ui/input.tsx", "TypeScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 4, 22
"/home/antonio/dev/myorder/src/components/ui/label.tsx", "TypeScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 25
"/home/antonio/dev/myorder/src/components/ui/textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 4, 19
"/home/antonio/dev/myorder/src/context/CartContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 2, 14, 98
"/home/antonio/dev/myorder/src/hooks/useCart.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/home/antonio/dev/myorder/src/lib/prisma.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"/home/antonio/dev/myorder/src/lib/supabase.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"/home/antonio/dev/myorder/src/lib/utils.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/home/antonio/dev/myorder/src/middlewares/authMiddleware.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 29
"/home/antonio/dev/myorder/tsconfig.json", "JSON with Comments", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"Total", "-", 764, 7216, 27, 16, 2978, 5, 78, 115, 16, 78, 72, 684, 12049
